0 550 1550 2400 
0 600 1600 2600 
0 650 1600 2700 
0 400 1200 2400 
0 650 1200 2300 
0 700 1550 2360 
0 650 1400 2000 
0 600 1800 2300 
0 600 1350 2300 
0 700 1300 2300 
0 650 1600 2300 
0 700 1300 2300 
0 700 1400 2300 
0 550 1500 2300 
0 650 1200 2300 
1 600 1200 2400 
1 650 1200 2600 
1 700 1150 2500 
1 650 1100 2500 
1 650 1200 2550 
1 600 1200 2500 
1 650 1200 2500 
1 600 1200 2600 
1 700 1200 2600 
1 750 1150 2600 
1 650 1200 2400 
1 750 1300 2400 
1 700 1200 2200 
1 750 1200 2200 
1 750 1250 2200 
1 750 1300 2300 
1 800 1350 2200 
1 700 1200 2200 
1 800 1300 2200 
2 300 2200 2700 
2 300 2050 2600 
2 300 2100 2750 
2 300 2100 2700 
2 300 1900 2700 
2 400 1800 2400 
2 300 1500 2400 
2 350 2100 2500 
2 350 2300 3000 
2 350 2200 2970 
2 300 2150 2970 
2 300 2300 2970 
2 300 2200 2800 
2 350 2200 3000 
2 300 2300 2800 
2 300 2200 2800 
2 300 2100 2800 
2 300 2350 2800 
2 400 2250 2700 
2 350 2250 2700 
2 400 2250 2600 
2 350 2200 2600 
2 400 2150 2700 
2 300 2500 3100 
2 350 2500 3200 
2 350 2500 3200 
2 350 2400 3100 
2 300 2300 3080 
3 300 1200 2500 
3 450 1150 2500 
3 350 1150 2500 
3 400 1000 2500 
3 400 1000 2500 
3 500 1400 2350 
3 350 1050 2300 
3 300 1050 2300 
3 400 1150 1850 
3 350 1150 2300 
3 350 1050 2300 
3 350 1000 2300 
3 350 1200 2300 
3 500 1300 2300 
3 300 1000 2400 
3 350 800 2300 
3 350 800 2700 
3 350 1100 2700 
3 400 900 2700 
3 400 1000 2400 
3 400 1000 2700 
3 350 800 2600 
3 350 750 2600 
3 400 900 2600 
3 300 900 2400 
3 300 1000 2400 
3 300 900 2400 
3 350 850 2400 
3 350 900 2600 
3 400 900 2600 
3 350 950 2700 
3 350 900 2600 
3 350 700 2630 
4 550 1800 2700 
4 550 1900 2550 
4 500 2000 2400 
4 500 1900 2600 
4 450 1800 2600 
4 500 1500 2400 
4 450 1650 2400 
4 400 1300 2400 
4 550 1600 2450 
4 550 1500 2450 
4 700 1900 2700 
4 600 1850 2500 
4 400 1900 2700 
4 550 1850 2800 
4 500 1900 2700 
4 650 1850 2700 
4 550 1750 2700 
4 650 1850 2700 
4 500 2200 2700 
4 500 2000 2700 
4 550 2100 2700 
4 550 2000 2500 
4 500 2000 2600 
4 400 1900 2500 
4 450 2000 2500 
4 500 2100 2600 
4 500 2300 2600 
4 450 1800 2500 
4 450 1350 2500 
4 450 1850 2600 
4 350 1800 2500 
4 500 1800 2300 
4 700 1900 2870 
4 450 2300 2850 
4 400 2400 3000 
4 600 2150 3050 
4 450 2250 2900 
4 400 2250 2800 
4 700 1850 2900 
4 500 2200 2900 
4 400 2400 3000 
4 450 2300 3100 
5 600 1050 2700 
5 600 1150 2700 
5 450 1150 2700 
5 400 1000 2300 
5 450 1100 2300 
5 450 1150 2300 
5 600 1200 2300 
5 500 1000 2300 
5 400 1100 2300 
5 400 1300 2300 
5 600 1200 2300 
5 600 1200 2300 
5 500 1100 2250 
5 500 1200 2300 
5 450 1000 2350 
5 450 1100 2300 
5 500 1150 2720 
5 550 1250 2600 
5 600 1100 2750 
5 500 1000 2560 
5 500 900 2700 
5 500 1050 2600 
5 500 1000 2600 
5 500 950 2600 
5 400 1000 2300 
5 500 1000 2300 
5 450 1050 2300 
5 400 1000 2300 
5 450 1050 2760 
5 500 1000 2700 
5 500 1000 2900 
5 500 1000 2700 
5 550 1100 2850 
5 400 800 2700 
5 600 1050 2850 
5 450 1000 2700 
5 500 950 2700 
